"","SD","Median","relabundance","Prevalance"
"Salinibacter",3.33873012268719e-06,0,6.63741457429998e-05,0
"Salinicoccus",0.00171692968767849,0.00272938900943231,0.0245560883250127,0.0138888888888889
"Salinicola",1.60315499779299e-06,0,1.88933628372087e-05,0
"Salinisphaera",5.13714332680828e-06,0,0.000149360227802464,0
"Salinispirillum",3.2274927547753e-05,0,0.0012948090955706,0
"Salinispora",4.04847176607276e-06,0,5.9668340791167e-05,0
"Salinithrix",1.25971236075163e-06,0,1.48458525438665e-05,0
"Salinivibrio",3.80267861160502e-06,0,5.89882941538256e-05,0
"Salirhabdus",2.28196276083698e-05,0,0.000402190443723045,0
"Saliterribacillus",2.1297563082968e-06,0,2.50994187978583e-05,0
"Salmonella",0.00911073960311425,0.00238848348318198,0.134098436950629,0.111111111111111
"Salsuginibacillus",3.02488095337236e-06,0,8.89957118002316e-05,0
"Samsonia",3.96180562617708e-05,0,0.00132146064641349,0
"Sandaracinobacter",1.70004049535595e-06,0,2.84305365175279e-05,0
"Sandaracinus",3.75002295298659e-06,0,7.17731170512353e-05,0
"Sanguibacter",3.53185854452065e-06,0,8.27914339114272e-05,0
